,building_blocks
509,O=C(O)COC[C@H]1CCCN1C(=O)OCC1c2ccccc2-c2ccccc21
510,O=C(O)C[C@@H](Cc1ccc(Cl)c(Cl)c1)NC(=O)OCC1c2ccccc2-c2ccccc21
511,O=C(O)C[C@@H](Cc1cccs1)NC(=O)OCC1c2ccccc2-c2ccccc21
512,O=C(O)C[C@@H](NC(=O)OCC1c2ccccc2-c2ccccc21)c1ccc(C(F)(F)F)cc1
513,O=C(O)C[C@@H](NC(=O)OCC1c2ccccc2-c2ccccc21)c1ccc(Cl)cc1
514,O=C(O)[C@@H]1CSCN1C(=O)OCC1c2ccccc2-c2ccccc21
515,O=C(O)[C@@H]1C[C@@H]2CCCC[C@@H]2N1C(=O)OCC1c2ccccc2-c2ccccc21
516,O=C(O)[C@@H]1Cc2ccccc2N1C(=O)OCC1c2ccccc2-c2ccccc21
517,O=C(O)[C@H]1C[C@H](O)CN1C(=O)OCC1c2ccccc2-c2ccccc21
518,C=CCC[C@@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O
519,CC(C)(C)OC(=O)CCC(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O
520,CCCCC(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O
521,COc1ccc(C(=O)O)c(NC(=O)OCC2c3ccccc3-c3ccccc32)c1
522,N#Cc1ccc(NC(=O)OCC2c3ccccc3-c3ccccc32)c(C(=O)O)c1
523,O=C(N[C@@H](Cc1csc2ccccc12)C(=O)O)OCC1c2ccccc2-c2ccccc21
524,O=C(N[C@H](Cc1ccc(C(F)(F)F)cc1)C(=O)O)OCC1c2ccccc2-c2ccccc21
525,O=C(N[C@H]1C=C[C@@H](C(=O)O)C1)OCC1c2ccccc2-c2ccccc21
526,O=C(Nc1c(C(=O)O)ccc(Br)c1F)OCC1c2ccccc2-c2ccccc21
527,O=C(Nc1cc(Cl)nc(C(=O)O)c1Cl)OCC1c2ccccc2-c2ccccc21
528,O=C(Nc1ccc(C(=O)O)cc1)OCC1c2ccccc2-c2ccccc21
529,O=C(Nc1ccc(C(=O)O)cc1OC(F)(F)F)OCC1c2ccccc2-c2ccccc21
530,O=C(Nc1cnccc1C(=O)O)OCC1c2ccccc2-c2ccccc21
531,O=C(Nc1nc2cc(C(=O)O)ccc2[nH]1)OCC1c2ccccc2-c2ccccc21
532,O=C(O)C1CN(C(=O)OCC2c3ccccc3-c3ccccc32)C1
533,O=C(O)C[C@@H](Cc1ccc(Br)cc1)NC(=O)OCC1c2ccccc2-c2ccccc21
534,O=C(O)C[C@@H](Cc1ccc(Cl)cc1Cl)NC(=O)OCC1c2ccccc2-c2ccccc21
535,O=C(O)C[C@H](C/C=C/c1ccccc1)NC(=O)OCC1c2ccccc2-c2ccccc21
536,O=C(O)C[C@H](Cc1c(F)c(F)c(F)c(F)c1F)NC(=O)OCC1c2ccccc2-c2ccccc21
537,O=C(O)[C@@H]1Cc2ccc(O)cc2CN1C(=O)OCC1c2ccccc2-c2ccccc21
538,O=C(O)[C@H]1Cc2ccccc2CN1C(=O)OCC1c2ccccc2-c2ccccc21
539,COc1ccc([C@H](NC(=O)OCC2c3ccccc3-c3ccccc32)C(=O)O)cc1
540,Cc1cc(C(=O)O)ccc1NC(=O)OCC1c2ccccc2-c2ccccc21
541,O=C(NC1(C(=O)O)CC1)OCC1c2ccccc2-c2ccccc21
542,O=C(N[C@@H](Cc1ccco1)C(=O)O)OCC1c2ccccc2-c2ccccc21
543,O=C(N[C@H](C(=O)O)C1CCCC1)OCC1c2ccccc2-c2ccccc21
544,O=C(Nc1cc(Br)cc(C(=O)O)c1)OCC1c2ccccc2-c2ccccc21
545,O=C(Nc1cc(Cl)ncc1C(=O)O)OCC1c2ccccc2-c2ccccc21
546,O=C(Nc1cc([N+](=O)[O-])ccc1C(=O)O)OCC1c2ccccc2-c2ccccc21
547,O=C(O)C[C@@H](Cc1cccc(F)c1)NC(=O)OCC1c2ccccc2-c2ccccc21
548,O=C(O)C[C@H](Cc1ccc(F)cc1)NC(=O)OCC1c2ccccc2-c2ccccc21
549,Nc1ccncc1[N+](=O)[O-]
550,Nc1ccncn1
551,Nc1ccsc1.O=C(O)C(=O)O
552,Nc1cn[nH]c1
553,Nc1cnc(Br)cn1
554,Nc1cnc(Cl)cc1Cl
555,Nc1cncnc1
556,Nc1nc(F)cc(F)n1
557,Nc1nc(NCc2ccc(F)cc2)ccc1[N+](=O)[O-]
558,Nc1ncccc1C=O
559,Nc1nccnc1Cl
560,Nc1nnc(S)s1
561,C#Cc1ccc(N)cc1
562,C#Cc1cccc(N)c1
563,C=C1CCC(CN)CC1.Cl
564,C=CCOCCCN
565,CC(C)(C#N)c1ccc(N)cc1
566,CC(C)(C)c1nnc(CN)s1.Cl
567,CC(C)CC(C)(CN)NC(=O)c1cc(Cl)c(Cl)[nH]1.Cl
568,CC(C)NC(=O)NCCN.Cl.Cl
569,CC(CCN)S(C)=O
570,CC(CN)S(C)=O
571,CC(CN)c1c(Cl)cccc1Cl
572,CC1(C)CC(CN)C(C)(C)O1
573,CC1(CCCCN)OCCO1
574,CC1CC(CN)C(C)O1
575,CC1CN(S(=O)(=O)CCN)CC(C)O1
576,CCC1COCCN1CCN.Cl.Cl
577,CCN1CCN(Cc2ccc(N)nc2)CC1
578,CCOC(=O)c1cncnc1N
579,CCOc1cc2c(cc1CN)OC(C)C2.Cl
580,CCOc1ccnc(N)c1
581,CCSC1CCC1(O)CN
582,CN(C)C1(CN)CCSC1
583,CN(C)c1ncccc1CN.Cl.Cl
584,CN(CCN)C1CCOCC1
585,CN1C(=O)Cc2cc(CN)ccc21.Cl
586,CN1CC(CCN)CC1=O
587,CN1CCN(Cc2ccc(N)cc2C(F)(F)F)CC1
588,COC(=O)c1cc(N)cc(F)c1
589,COC(=O)c1cc(N)ccc1F
590,COC(=O)c1ccc(N)cc1OC
591,COC(=O)c1cccc(N)n1
592,COC(C)(CCN)OC
593,COC(CN)C1CCCOC1
594,COc1c(F)ccc(F)c1CN.Cl
595,COc1cc(Br)ccc1N
596,COc1cc(C#N)c(F)cc1N
597,COc1cc(CN)c2ccccc2n1
598,COc1cc(N)ccn1
599,COc1ccc(CN)cc1C#N.Cl
600,COc1cccc(F)c1CN
601,COc1ccccc1-c1nnc(N)s1
602,COc1ccccc1OCCCCN
603,COc1ccnc(N)c1
604,COc1ccncc1CN
605,COc1cncc(N)c1
606,COc1nc(Br)ccc1N
607,COc1ncc(N)cc1C(F)(F)F
608,CS(=O)(=O)Nc1cccc(N)c1
609,CS(=O)C1(CN)CCC1
610,CSC1(CN)CCOCC1.Cl
611,CSCc1nnc(CN)[nH]1.Cl
612,Cc1c([C@@H]2[C@@H](CN)CC(=O)N2C)cnn1C
613,Cc1cc(C#N)c(N)s1
614,Cc1cc(C)c(CN)c(=O)[nH]1.Cl
615,Cc1cc(CN)cc(Cl)n1.Cl.Cl
616,Cc1cc(N)ccc1F
617,Cc1cc(N)ccn1
618,Cc1cc(N)ncc1Cl
619,Cc1cc(N)nn1C
620,Cc1cc(N)nnc1Cl
621,Cc1ccc(N)c(CO)c1
622,Cc1ccc(N)c(Cl)n1
623,Cc1ccc(N)cc1Br
624,Cc1cccc(OCCCN)c1C.Cl
625,Cc1cccc2oc(CCN)nc12.Cl.Cl
626,Cc1ccccc1-c1csc(N)n1
627,Cc1cnc(O)c(N)c1
628,Cc1nc(Cl)ccc1N
629,Cc1nc(N)ccc1Cl
630,Cc1nncn1CCCN.Cl
631,Cc1sc(CCN)nc1-c1ccccc1.Cl.Cl
632,Cl.Cl.Cn1cncc1CN
633,Cl.Cl.NCC=Cc1cccnc1
634,Cl.Cl.NCCc1nccn1C(F)F
635,Cl.Cl.NCCc1nnc2c(=O)[nH]ccn12
636,Cl.Cl.NC[C@@H]1CCO[C@H]1c1cn[nH]c1
637,Cl.Cl.NCc1ccc(O)c2ncccc12
638,Cl.Cl.NCc1cccc(-n2ccnn2)c1
639,Cl.Cl.NCc1cncc(F)c1
640,Cl.Cl.NCc1nc2cnccc2s1
641,Cl.Cl.NCc1ncc[nH]1
642,Cl.Cn1cc(CN)c(=O)[nH]c1=O
643,Cl.Cn1cc(N)ccc1=O
644,Cl.NC1CCC(=O)CC1
645,Cl.NCC(=O)NCc1ccncc1
646,Cl.NCC(F)(F)C(F)(F)F
647,Cl.NCC(F)(F)C(N)=O
648,Cl.NCC1(F)CCOC1
649,Cl.NCC12CC3CC(CC(C3)C1)C2
650,Cl.NCC1C=CCC1
651,Cl.NCC1CC2(C1)CC2(F)F
652,Cl.NCC1CCCC1
653,Cl.NCC1CCOCC12CCCC2
654,Cl.NCCC1CC2(CCC2)CO1
655,Cl.NCCC1CCCC1(F)F
656,Cl.NCCCCN1C(=O)c2ccccc2C1=O
657,Cl.NCCCN1C(=O)CCC1=O
658,Cl.NCCCNC(=O)c1ccc(F)cc1
659,Cl.NCCOc1ccc(F)c(F)c1
660,Cl.NCCS(=O)(=O)c1ccc(Cl)cc1
661,Cl.NCCc1ccno1
662,Cl.NC[C@@H]1CCO[C@@H]1c1nc(C2CC2)no1
663,Cl.NCc1cc(C(F)(F)F)co1
664,Cl.NCc1cc2ccccc2[nH]c1=O
665,Cl.NCc1ccc(-c2nnn[nH]2)cc1
666,Cl.NCc1ccnc(C(N)=O)c1
667,Cl.NCc1nc(-c2ccco2)n[nH]1
668,Cl.NCc1nc2ccccc2c(=O)[nH]1
669,Cl.NCc1ncon1
670,Cl.NCc1nnc(-c2ccncc2)[nH]1
671,Cn1cc(C2(CN)CCCO2)cn1
672,Cn1cc(CN)cn1
673,Cn1ccc2cc(N)ccc21
674,Cn1cncc1C(CN)N1CCCC1
675,Cn1nccc1CN
676,N#CC1=C(N)CCC1
677,N#Cc1ccc(N)cc1
678,NC1=NC(=O)CS1
679,NCC1(C2CC2)CCCO1
680,NCC1(N2CCOCC2)CC1
681,NCC12CCCC(CO1)C2
682,NCC1CCC2CC2C1
683,NCCC1OCCc2ccccc21
684,NCCCc1cc(=O)[nH][nH]1
685,NCCN1CCCOCC1
686,NCCN1CC[C@@H](O)C1
687,NCCNC(=O)c1cccnc1
688,NCCc1ccncc1F
689,NCCc1coc2ccccc12
690,NCc1cc(=O)c(O)co1
691,NCc1ccc2[nH]ccc2c1
692,NCc1cccc(C(=O)N2CCCC2)c1
693,NCc1cccc(C(F)(F)F)n1
694,NCc1ccccc1CN1CCCC1=O
695,NCc1ccccn1
696,NCc1cn(-c2ccccc2)nc1-c1ccncc1
697,Nc1cc(Cl)c(F)c(Cl)c1
698,Nc1cc(Cl)c(O)c(Cl)c1
699,Nc1cc(Cl)ccc1F
700,Nc1cc(Cl)nc(Cl)n1
701,Nc1cc(F)c(F)c(F)c1
702,Nc1cc(F)ccn1
703,Nc1cc(N2CCCC2)ccn1
704,Nc1cc2cccnc2c2ncccc12
705,Nc1ccc(-c2cnco2)cc1
706,Nc1ccc(-n2cncn2)cc1
707,Nc1ccc(C(=O)N2CCOCC2)cc1
708,Nc1ccc(Cl)c(F)c1
709,Nc1ccc(Cl)nc1Cl
710,Nc1ccc(Cn2ccnc2)cc1
711,Nc1ccc(F)cn1
712,Nc1ccc(N2CCOCC2)cn1
713,Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1
714,Nc1ccc([N+](=O)[O-])c(F)c1
715,Nc1ccc2[nH]c(=O)[nH]c2c1
716,Nc1ccc2c(c1)C(O)CCC2
717,Nc1ccc2c(c1)CC(=O)N2
718,Nc1ccc2c(c1)OCO2
719,Nc1ccc2c(c1)oc1ccccc12
720,Nc1ccc2cc(Br)ccc2c1
721,Nc1cccc(N2CCCC2)c1
722,Nc1ccccc1-c1nnn[nH]1
723,Nc1cccnc1Cl
724,Nc1cccnc1F
725,Nc1cccnc1[N+](=O)[O-]
726,Cc1cscc1CN
727,Cc1nc(CCN)sc1C
728,Cc1nc(Cl)c(N)c(Cl)n1
729,Cl.Cl.NCC(O)c1ccncc1
730,Cn1c(=O)cc(N)[nH]c1=O
731,Cn1ccc(S(=O)(=O)NCCN)c1
732,Cn1nccc1N
733,N#Cc1cnn(-c2ccccc2)c1N
734,N#Cc1nc[nH]c1N
735,NCCOc1cccnc1
736,NCc1cc(C(F)F)on1
737,NCc1ccc(N2CCOCC2)cc1C(F)(F)F
738,NCc1ccc(Oc2cccnc2)c(F)c1
739,NCc1nc(-c2ccsc2)no1
740,Nc1c(O)ncnc1O
741,Nc1cc(Cl)nc(Cl)c1[N+](=O)[O-]
742,Nc1cn2nc(Cl)ccc2n1
743,Nc1nc(Br)cn2ccnc12
744,Nc1nc(Cl)c2[nH]cnc2n1
745,Nc1nc(Cl)c2cc[nH]c2n1
746,Nc1nc(Cl)c2cn[nH]c2n1
747,Nc1nc2c(s1)COCC2
748,Nc1nc2ccc(Cl)cc2o1
749,Nc1nc2ccc(Cl)cc2s1
750,Nc1nc2ccccc2[nH]1
751,Nc1nccc(=O)[nH]1
752,Nc1ncnc(Cl)c1Cl
753,Br.Br.NCC1CCCN1c1cccnn1
754,Br.NCc1cccc(Br)n1
755,CC(C)c1nc(N)sc1Br
756,CC(CN)Sc1ccccc1
757,CCOC(=O)c1c(C)csc1N
758,CCOC(=O)c1cc(N)[nH]n1
759,CCOC(=O)c1cnc(N)[nH]1
760,CCOC(=O)c1coc(N)n1
761,CCOC(=O)c1nonc1N
762,COC(=O)c1c[nH]c(C(=O)OC)c1N
763,COC(=O)c1c[nH]nc1N
764,COC(=O)c1ccsc1N
765,COC(=O)c1sc(C)cc1N
766,COc1cc2nc(Cl)nc(N)c2cc1OC
767,COc1ccc2nc(N)sc2c1
768,COc1nc(C)ccc1CN
769,Cc1cc(CN)c(C)s1
770,Cc1cc(N)n[nH]1
771,C#CC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O
772,CCS(=O)(=O)c1cc(C(=O)O)c(OC)cc1NC(=O)OCC1c2ccccc2-c2ccccc21
773,Cc1cccc(NC(=O)OCC2c3ccccc3-c3ccccc32)c1C(=O)O
774,O=C(NC(CCc1ccccc1)C(=O)O)OCC1c2ccccc2-c2ccccc21
775,O=C(N[C@@H](C(=O)O)C1CCCC1)OCC1c2ccccc2-c2ccccc21
776,O=C(N[C@@H](C(=O)O)C1CCCCC1)OCC1c2ccccc2-c2ccccc21
777,O=C(N[C@@H](Cc1c(F)c(F)c(F)c(F)c1F)C(=O)O)OCC1c2ccccc2-c2ccccc21
778,O=C(N[C@@H](Cc1ccc(Cl)c(Cl)c1)C(=O)O)OCC1c2ccccc2-c2ccccc21
779,O=C(N[C@H](C(=O)O)C1CC1)OCC1c2ccccc2-c2ccccc21
780,O=C(N[C@H](Cc1ccc(Cl)cc1)C(=O)O)OCC1c2ccccc2-c2ccccc21
781,O=C(N[C@H](Cc1ccccc1Cl)C(=O)O)OCC1c2ccccc2-c2ccccc21
782,O=C(N[C@H](Cc1csc2ccccc12)C(=O)O)OCC1c2ccccc2-c2ccccc21
783,O=C(Nc1c(Br)cccc1C(=O)O)OCC1c2ccccc2-c2ccccc21
784,O=C(Nc1c(C(=O)O)cccc1C(=O)O)OCC1c2ccccc2-c2ccccc21
785,O=C(Nc1c(I)c(C(=O)O)c(I)c(C(=O)O)c1I)OCC1c2ccccc2-c2ccccc21
786,O=C(Nc1cc(Br)cnc1C(=O)O)OCC1c2ccccc2-c2ccccc21
787,O=C(Nc1cc(F)ccc1C(=O)O)OCC1c2ccccc2-c2ccccc21
788,O=C(Nc1ccc(C(=O)O)c(C(=O)O)c1)OCC1c2ccccc2-c2ccccc21
789,O=C(Nc1ccc(C(=O)O)c([N+](=O)[O-])c1)OCC1c2ccccc2-c2ccccc21
790,O=C(Nc1ccc(C(=O)O)cc1Cl)OCC1c2ccccc2-c2ccccc21
791,O=C(Nc1ccc(C(=O)O)nc1)OCC1c2ccccc2-c2ccccc21
792,O=C(Nc1ccc(I)cc1C(=O)O)OCC1c2ccccc2-c2ccccc21
793,O=C(Nc1cccc(-c2cccc(C(=O)O)c2)c1O)OCC1c2ccccc2-c2ccccc21
794,O=C(Nc1cccc([N+](=O)[O-])c1C(=O)O)OCC1c2ccccc2-c2ccccc21
795,O=C(Nc1cncc(C(=O)O)n1)OCC1c2ccccc2-c2ccccc21
796,O=C(Nc1nc2ncc(CNc3ccc(C(=O)O)cc3)nc2c(=O)[nH]1)OCC1c2ccccc2-c2ccccc21
797,O=C(O)CC1(CNC(=O)OCC2c3ccccc3-c3ccccc32)CCCCC1
798,O=C(O)C[C@@H](Cc1ccc(I)cc1)NC(=O)OCC1c2ccccc2-c2ccccc21
799,O=C(O)C[C@@H](Cc1ccccc1Cl)NC(=O)OCC1c2ccccc2-c2ccccc21
800,O=C(O)C[C@@H](NC(=O)OCC1c2ccccc2-c2ccccc21)c1cccs1
801,O=C(O)C[C@H](Cc1ccc(Br)cc1)NC(=O)OCC1c2ccccc2-c2ccccc21
802,O=C(O)C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)c1cccc(Cl)c1Cl
803,O=C(O)[C@@H]1CCCCN1C(=O)OCC1c2ccccc2-c2ccccc21
804,O=C(O)[C@H]1CC2CCCCC2N1C(=O)OCC1c2ccccc2-c2ccccc21
805,CC(C)(C)OC(=O)CC(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O
806,CCOc1cc(NC(=O)OCC2c3ccccc3-c3ccccc32)c(Cl)cc1C(=O)O
807,COC(=O)CC(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O
808,COc1cc(C(=O)O)c(N)cc1NC(=O)OCC1c2ccccc2-c2ccccc21
809,Cc1cccc(C(=O)O)c1NC(=O)OCC1c2ccccc2-c2ccccc21
810,O=C(NC1(C(=O)O)CCc2ccccc21)OCC1c2ccccc2-c2ccccc21
811,O=C(N[C@@H](CC1CC1)C(=O)O)OCC1c2ccccc2-c2ccccc21
812,O=C(N[C@@H](Cc1ccc(Br)cc1)C(=O)O)OCC1c2ccccc2-c2ccccc21
813,O=C(N[C@@H](Cc1ccc([N+](=O)[O-])cc1)C(=O)O)OCC1c2ccccc2-c2ccccc21
814,O=C(Nc1c(C(=O)O)cnn1-c1ccc(F)cc1)OCC1c2ccccc2-c2ccccc21
815,O=C(Nc1c(F)cc(C(=O)O)cc1F)OCC1c2ccccc2-c2ccccc21
816,O=C(Nc1c(I)cccc1C(=O)O)OCC1c2ccccc2-c2ccccc21
817,O=C(Nc1cc(C(=O)O)cc(C(=O)O)c1)OCC1c2ccccc2-c2ccccc21
818,O=C(Nc1cc2ccccc2cc1C(=O)O)OCC1c2ccccc2-c2ccccc21
819,O=C(Nc1ccc(Br)c(C(=O)O)c1)OCC1c2ccccc2-c2ccccc21
820,O=C(Nc1ccc(C(=O)O)cc1O)OCC1c2ccccc2-c2ccccc21
821,O=C(Nc1ccc(Cl)nc1C(=O)O)OCC1c2ccccc2-c2ccccc21
822,O=C(Nc1ccc(F)c(C(=O)O)c1F)OCC1c2ccccc2-c2ccccc21
823,O=C(Nc1cccc(Br)c1C(=O)O)OCC1c2ccccc2-c2ccccc21
824,O=C(Nc1cccc(C(=O)O)c1)OCC1c2ccccc2-c2ccccc21
825,O=C(Nc1cccc(F)c1C(=O)O)OCC1c2ccccc2-c2ccccc21
826,O=C(Nc1cccnc1C(=O)O)OCC1c2ccccc2-c2ccccc21
827,O=C(Nc1ncc(Br)cc1C(=O)O)OCC1c2ccccc2-c2ccccc21
828,O=C(O)C[C@@H](NC(=O)OCC1c2ccccc2-c2ccccc21)c1cccc(Cl)c1
829,O=C(O)C[C@H](Cc1ccc(Cl)c(Cl)c1)NC(=O)OCC1c2ccccc2-c2ccccc21
830,C#CC[C@@](C)(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O
831,C=CCC(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O
832,Cc1ccc(C(=O)O)cc1NC(=O)OCC1c2ccccc2-c2ccccc21
833,N#Cc1ccc(C[C@H](NC(=O)OCC2c3ccccc3-c3ccccc32)C(=O)O)cc1
834,O=C(CC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O)OC1CCCCC1
835,O=C(N[C@@H](Cc1ccc(Cl)cc1Cl)C(=O)O)OCC1c2ccccc2-c2ccccc21
836,O=C(N[C@@H](Cc1ccc(I)cc1)C(=O)O)OCC1c2ccccc2-c2ccccc21
837,O=C(N[C@@H](Cc1cscn1)C(=O)O)OCC1c2ccccc2-c2ccccc21
838,O=C(N[C@H]1CCC[C@@H]1C(=O)O)OCC1c2ccccc2-c2ccccc21
839,O=C(Nc1c(Br)cc(F)cc1C(=O)O)OCC1c2ccccc2-c2ccccc21
840,O=C(Nc1c(Cl)cc(F)cc1C(=O)O)OCC1c2ccccc2-c2ccccc21
841,O=C(Nc1c(OC(F)(F)F)cccc1C(=O)O)OCC1c2ccccc2-c2ccccc21
842,O=C(Nc1cc(C(=O)O)ccc1Br)OCC1c2ccccc2-c2ccccc21
843,O=C(Nc1ncc(C(=O)O)s1)OCC1c2ccccc2-c2ccccc21
844,O=C(O)C1c2ccccc2CN1C(=O)OCC1c2ccccc2-c2ccccc21
845,O=C(O)CNC(=O)OCC1c2ccccc2-c2ccccc21
846,O=C(O)C[C@@H](Cc1ccc(F)cc1)NC(=O)OCC1c2ccccc2-c2ccccc21
847,O=C(O)Cc1ccc(NC(=O)OCC2c3ccccc3-c3ccccc32)cc1
848,O=C(O)[C@H]1CCN1C(=O)OCC1c2ccccc2-c2ccccc21
849,Nc1ccnc(Cl)n1
850,Nc1ccncc1Cl
851,Nc1cnc(Cl)cn1
852,Nc1cnc(Cl)nc1
853,Nc1cnccn1
854,Nc1nc(-c2ccc(Cl)cc2)cs1
855,Nc1nc(C2CC2)cs1
856,Nc1nc(Cl)ccc1Cl
857,Nc1nccc(-c2cccnc2)n1
858,Nc1nccs1
859,Nc1nncs1
860,C#CCOc1cccc(CN)c1.Cl
861,C=CCOC(C)CN
862,C=CCOCCN
863,CC(=O)Nc1cccc(N)n1
864,CC(=O)c1ccc(N)c(F)c1
865,CC(C)(C)OC(=O)N1Cc2c(N)n[nH]c2C1(C)C
866,CC(C)(CN)CCS(C)(=O)=O.Cl
867,CC(CN)OC(C)(C)C.Cl
868,CC1(C)CC(CCN)C(=O)N1.Cl
869,CC1(C)NC(=O)N(CCCN)C1=O.Cl
870,CC1CN(c2cc(CN)ccn2)CCO1
871,CCC(CN)Oc1ccccc1C.Cl
872,CCN(CCCN)S(C)(=O)=O
873,CCOC(=O)c1cccnc1N
874,CCOC(=O)c1ncccc1N
875,CN1CC(CN)CC1=O
876,CN1CCN(Cc2ccccc2N)CC1
877,CN1CCO[C@@H](CN)[C@@H]1c1cnn(C)c1
878,CNC(=O)COCCN.Cl
879,COC(=O)c1cc(F)c(F)cc1N
880,COC(=O)c1cc(N)ccc1C
881,COC(=O)c1cc(OC)c(OC)cc1N
882,COC(=O)c1ccc(N)cc1C
883,COC(=O)c1cncc(N)c1
884,COC(=O)c1cscc1N.Cl
885,COC(=O)c1occc1N
886,COC(CN)CC(N)=O.Cl
887,COC1(CN)CCOC1.Cl
888,COCCNC(=O)CN.Cl
889,CO[C@@H]1COC[C@H]1n1cc(CN)nn1.Cl
890,COc1c(F)cc(N)cc1F
891,COc1c(N)cccc1F
892,COc1cc(C)c(N)cn1
893,COc1cc(F)c(Cl)cc1N
894,COc1cc(N)cc(OC)c1
895,COc1cc2c(cc1CN)OCO2
896,COc1ccc(C)nc1CN.Cl.Cl
897,COc1ccc(Cl)c(N)c1.Cl
898,COc1ccc(N)cc1[N+](=O)[O-]
899,COc1cccc(N)n1
900,COc1cnc(N)nc1
901,COc1cncc(N)n1
902,COc1ncccc1N
903,CS(=O)(=O)NC1CCCC1CN.Cl
904,CS(=O)CC(O)CN.Cl
905,CSc1ccc(CN)o1.Cl
906,Cc1c(CN)oc2ccc(F)cc12.Cl
907,Cc1cc(C)nc(N)n1
908,Cc1cc(Cl)nnc1N
909,Cc1cc(N)cc(Cl)c1
910,Cc1cc(N)cc(F)c1
911,Cc1cc(N)ccc1Cl
912,Cc1cc(N)ccc1O
913,Cc1cc(N)cnc1Br
914,Cc1cc(N)ncn1
915,Cc1cc(O)cc(C)c1N
916,Cc1cc(O)ccc1N
917,Cc1cc([N+](=O)[O-])c(N)cc1Cl
918,Cc1ccc(C#N)cc1N
919,Cc1ccc(Cl)c(N)c1
920,Cc1ccc(N)nn1
921,Cc1ccc(S(C)(=O)=O)cc1N
922,Cc1ccnc(N)c1
923,Cc1ccncc1N
924,Cc1cnc(CCN)s1.Cl.Cl
925,Cc1cnc(Cl)nc1N
926,Cc1cnc(N)cn1
927,Cc1csc(N)n1
928,Cc1nc(CN)oc1C.Cl.Cl
929,Cc1ncccc1N
930,Cl.Cl.NCC(=O)Nc1nccs1
931,Cl.Cl.NCC1(N2CCOCC2)CCOCC1
932,Cl.Cl.NCC1(c2ccncc2)CC1
933,Cl.Cl.NCC1CCN(CC(F)F)CC1
934,Cl.Cl.NCCn1cccnc1=O
935,Cl.Cl.NCCn1cnc2ccsc2c1=O
936,Cl.Cl.NCc1ccc2ccccc2n1
937,Cl.Cl.NCc1ccc[n+]([O-])c1
938,Cl.Cl.NCc1ccncc1C(F)(F)F
939,Cl.Cl.NCc1cn2cc(Br)ccc2n1
940,Cl.Cl.NCc1nc2c(F)c(F)ccc2[nH]1
941,Cl.Cl.NCc1ncccc1F
942,Cl.Cn1cc(CN)c(Br)n1
943,Cl.N#Cc1ccc(CN)nc1
944,Cl.NCC1CC12CCOCC2
945,Cl.NCC1CC2CC1C1CC21
946,Cl.NCC1CCCC2(CCC2)C1O
947,Cl.NCC1CCCOC1
948,Cl.NCC1OCCc2ccsc21
949,Cl.NCCC1CC1
950,Cl.NCCCCF
951,Cl.NCCCOc1cccc(F)c1
952,Cl.NCCC[C@@H]1NC(=O)NC1=O
953,Cl.NCCN1C(=O)SC(=Cc2cccs2)C1=O
954,Cl.NCCNC(N)=O
955,Cl.NCCS(=O)(=O)C1CCOCC1
956,Cl.NCCn1cnc2sccc2c1=O
957,Cl.NCc1cc(F)c(Cl)cc1F
958,Cl.NCc1ccc[nH]1
959,Cl.NCc1ccsc1C(F)(F)F
960,Cl.NCc1cnc(Cl)s1
961,Cl.NCc1cnc2n1CCOC2
962,Cl.NCc1cocn1
963,Cl.NCc1nnc2ncccn12
964,Cl.Nc1ccc2cccnc2c1
965,Cn1ccnc1N
966,Cn1nccc1CN1C[C@@H](F)C[C@H]1CN
967,N#Cc1cc(F)ccc1N
968,N#Cc1cc(N)ccc1Cl
969,N#Cc1cccc(N)n1
970,N#Cc1ccccc1N
971,N#Cc1cncnc1N
972,NCC(O)COc1ccccc1Br
973,NCC1(CO)CC2C=CC1C2
974,NCC1(CO)CC=CC1
975,NCC1(O)CC1
976,NCC1(O)CCSC1
977,NCC1(OCCO)CCC1
978,NCC1CC2(CC2)CO1
979,NCC1CCC(F)(F)CC1
980,NCC1CCCCC(F)(F)C1
981,NCC1CN2CCN1CC2
982,NCCC(=O)N1CCN(c2ccccn2)CC1
983,NCCC(O)C1CCCC1
984,NCCC1CCOC1
985,NCCC1CSC1
986,NCCN1CC2CCC1C2
987,NCC[C@@H]1COC[C@H]1O
988,NC[C@]1(CO)COC[C@H]2CCCN21
989,NCc1c(Br)cncc1Br
990,NCc1c(F)cccc1N1CCCC1
991,NCc1c[nH]c2ccccc12
992,NCc1cc(-c2ccccc2)[nH]n1
993,NCc1cccc(C(F)(F)F)c1
994,NCc1cccc(N2CCOCC2)c1
995,NCc1ccccc1CS(=O)(=O)N1CCOCC1
996,NCc1cccnc1N1CCC(C(N)=O)CC1
997,NCc1cccnc1OC(F)F
998,NCc1ccncn1
